buy_date,buy_price,end_price,HPR,Annualized_Return,MDD
2020-04-06,63.61,72.12,13.38,386.5,6.51
2020-04-07,62.88,72.86,15.87,539.89,6.51
2020-04-08,64.49,73.61,14.14,429.42,6.51
2020-04-09,64.95,75.37,16.04,551.93,6.51
2020-04-13,66.23,76.55,15.58,520.04,6.51
2020-04-20,67.12,76.54,14.03,423.19,2.34
2020-04-21,65.04,76.1,17.0,623.39,2.34
2020-04-22,66.92,77.58,15.93,543.94,2.34
2020-04-23,66.66,77.0,15.51,515.29,2.34
2020-04-28,67.52,77.31,14.5,450.71,2.34
2020-10-01,113.73,112.3,-1.26,-14.74,10.61
2020-10-05,113.45,105.92,-6.64,-57.91,12.56
2020-10-06,110.2,107.55,-2.4,-26.41,12.56
2020-10-07,112.07,111.94,-0.12,-1.45,12.56
2020-10-08,111.96,115.91,3.53,54.79,12.56
2020-10-09,113.91,115.78,1.64,22.77,12.56
2020-10-16,115.9,116.34,0.38,4.89,7.44
2020-10-19,112.94,117.35,3.9,62.03,7.44
2020-10-20,114.43,116.47,1.78,24.94,6.93
2020-11-09,113.47,121.33,6.93,132.54,5.36
2020-11-10,113.13,118.8,5.01,85.19,5.36
2020-11-18,115.14,125.55,9.04,197.6,4.04
2020-11-19,115.73,123.56,6.77,128.16,2.98
2020-11-20,114.47,125.09,9.28,205.84,2.09
2021-01-04,126.24,131.68,4.31,70.16,7.82
2021-03-16,122.68,128.99,5.14,88.13,3.9
2021-03-17,121.89,131.4,7.8,157.69,2.83
2021-03-22,120.55,130.04,7.87,159.81,2.16
2021-03-23,119.72,130.42,8.94,194.06,1.78
2021-03-31,119.34,130.4,9.27,205.49,2.15
2021-04-01,120.17,128.43,6.87,131.08,2.51
2021-06-07,123.21,138.98,12.8,356.1,1.01
2021-06-08,124.03,141.48,14.07,425.2,1.01
2021-06-09,124.41,140.18,12.68,349.85,1.01
2021-06-10,123.41,142.01,15.07,486.41,1.01
2021-06-11,124.63,141.41,13.46,391.14,1.01
2021-10-14,140.9,145.14,3.01,45.29,2.94
2021-10-15,141.96,147.22,3.71,58.16,2.94
2022-02-03,169.7,160.36,-5.5,-51.0,9.2
2022-02-04,169.42,156.55,-7.6,-63.04,9.63
2022-02-07,168.7,154.73,-8.28,-66.35,10.68
2022-02-10,169.15,152.06,-10.1,-73.87,10.45
2022-02-14,165.97,152.42,-8.16,-65.81,12.83
2022-02-15,169.81,156.84,-7.64,-63.25,12.71
2022-02-16,169.58,157.85,-6.92,-59.47,10.82
2022-03-18,161.15,162.23,0.67,8.78,7.76
2022-03-21,162.53,164.52,1.22,16.57,7.76
2022-04-06,168.87,154.07,-8.76,-68.52,9.04
2022-04-07,169.17,154.8,-8.49,-67.32,8.12
2022-05-27,147.28,135.27,-8.15,-65.76,13.98
2022-05-31,146.49,137.03,-6.46,-56.88,13.98
2022-06-01,146.36,134.56,-8.06,-65.32,13.98
2022-06-02,148.82,136.74,-8.12,-65.58,12.54
2022-06-06,143.83,140.66,-2.2,-24.48,12.54
2022-06-07,146.36,144.04,-1.59,-18.24,12.09
2022-06-08,145.62,144.72,-0.62,-7.51,8.82
2022-06-24,139.42,150.53,7.97,162.76,3.49
2022-06-27,139.42,149.21,7.02,135.16,2.41
2022-07-01,136.74,158.96,16.25,566.72,2.41
2022-07-05,139.32,157.48,13.03,368.24,2.41
2022-07-06,140.66,163.51,16.24,566.36,2.41
2022-07-11,142.58,162.49,13.96,419.13,2.41
2022-07-13,143.19,166.8,16.49,584.18,2.41
2022-10-21,145.15,149.36,2.9,43.37,13.25
2022-10-24,147.29,146.12,-0.79,-9.56,13.25
2022-10-26,147.2,149.14,1.32,17.94,13.25
2022-10-27,142.71,146.22,2.46,35.82,13.25
2022-11-01,148.48,146.14,-1.58,-18.14,6.85
2022-11-11,147.79,142.64,-3.48,-36.04,6.84
2022-11-14,146.38,143.61,-1.89,-21.39,6.84
2022-11-15,148.12,141.38,-4.55,-44.39,6.84
2022-11-16,146.89,134.75,-8.26,-66.27,9.78
2022-11-21,146.12,130.61,-10.61,-75.68,12.42
2022-11-22,148.26,133.72,-9.81,-72.76,12.42
2022-11-25,146.22,130.17,-10.98,-76.89,11.09
2023-01-11,131.78,148.94,13.02,367.56,2.44
2023-01-12,131.7,149.31,13.37,386.12,2.44
2023-01-13,133.04,152.11,14.33,440.77,2.44
2023-01-17,134.2,151.47,12.87,359.66,2.44
2023-01-18,133.48,153.58,15.06,485.56,2.44
2023-01-19,133.54,151.98,13.81,410.28,2.44
2023-08-28,178.64,170.49,-4.56,-44.48,9.35
2023-08-29,182.54,168.97,-7.43,-62.22,10.16
2023-09-06,181.34,172.17,-5.06,-48.0,4.98
2023-10-05,173.41,176.05,1.52,20.97,7.65
2023-10-06,175.97,175.14,-0.47,-5.78,7.65
2023-10-10,176.86,180.26,1.92,27.12,7.65
2023-10-13,177.32,185.04,4.35,71.08,6.62
2023-10-16,177.19,183.46,3.54,54.98,5.79
2023-10-17,175.63,186.08,5.95,107.14,5.09
2023-10-18,174.33,186.64,7.06,136.25,4.89
2023-11-03,175.14,188.05,7.37,145.01,1.09
2024-01-29,190.34,181.53,-4.63,-44.96,4.23
2024-01-30,186.67,180.33,-3.4,-35.3,4.23
2024-03-19,175.02,166.99,-4.59,-44.67,6.1
2024-03-20,177.6,166.04,-6.51,-57.17,5.38
2024-03-27,172.27,168.87,-1.97,-22.21,6.54
2024-04-11,173.99,183.46,5.44,94.99,6.54
2024-04-15,171.65,185.41,8.02,164.22,2.58
2024-04-25,168.87,186.01,10.15,238.06,2.84
2024-04-30,169.31,189.4,11.87,310.76,2.84
2024-05-02,171.99,191.36,11.26,283.69,2.84
2024-09-03,221.99,225.42,1.55,21.31,2.91
2024-10-01,225.42,232.85,3.3,50.47,2.5
2024-10-02,225.99,229.29,1.46,20.04,2.7
2024-10-03,224.88,225.12,0.11,1.35,4.47
2024-10-04,226.01,222.13,-1.72,-19.6,5.74
2024-10-11,226.75,226.41,-0.15,-1.87,6.12
2024-10-23,229.95,228.45,-0.65,-7.92,4.99
2024-10-24,229.76,227.97,-0.78,-9.38,4.99
2024-11-19,227.73,247.45,8.66,184.74,2.14
2024-11-20,228.45,249.19,9.08,198.89,2.14
2024-11-21,227.97,253.88,11.37,288.2,2.14
2025-01-29,238.78,236.99,-0.75,-9.05,4.19
2025-01-30,237.02,241.52,1.9,26.74,3.97
2025-01-31,235.43,237.72,0.97,12.97,3.97
2025-02-06,232.66,238.76,2.62,38.55,4.77
2025-02-11,232.32,216.7,-6.72,-58.4,12.19
2025-02-12,236.56,209.41,-11.48,-78.48,15.14
2025-02-26,240.05,221.24,-7.84,-64.23,13.29
2025-02-28,241.52,217.61,-9.9,-73.11,12.29
2025-03-31,221.84,210.93,-4.92,-47.03,22.99
2025-04-01,222.9,212.22,-4.79,-46.13,22.99
2025-04-02,223.6,213.04,-4.72,-45.64,15.14
