Date,Close,High,Low,Open,Volume,Pct_Change,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_7,RSI_14,MACD,DIF,DEA,K,D,J,BOLL_Middle,BOLL_Upper,BOLL_Lower
2020-01-02,72.62,72.68,71.37,71.63,135480400,-0.97,70.85,69.46,67.5,64.35,58.49,52.89,93.44,84.61,0.66,2.12,1.78,93.4,91.09,98.02,67.5,72.41,62.59
2020-01-03,71.91,72.68,71.69,71.85,146322800,-0.97,71.22,69.89,67.94,64.63,58.73,53.02,79.38,77.73,0.61,2.16,1.86,90.81,91.0,90.43,67.94,72.8,63.07
2020-01-06,72.49,72.53,70.78,71.03,118387200,0.8,71.7,70.36,68.35,64.91,58.95,53.15,81.96,79.21,0.58,2.22,1.93,92.55,91.52,94.63,68.35,73.29,63.41
2020-01-07,72.15,72.75,71.93,72.5,108872000,-0.47,72.03,70.82,68.68,65.17,59.18,53.28,75.43,75.98,0.45,2.22,1.99,90.38,91.14,88.87,68.68,73.7,63.67
2020-01-08,73.31,73.61,71.85,71.85,132079200,1.61,72.5,71.29,69.12,65.45,59.43,53.42,81.33,79.1,0.46,2.28,2.05,91.48,91.25,91.93,69.12,74.14,64.1
2020-01-09,74.86,75.06,74.04,74.29,170108400,2.12,72.94,71.9,69.62,65.75,59.68,53.57,86.44,82.41,0.61,2.43,2.12,93.26,91.92,95.94,69.62,74.84,64.4
2020-01-10,75.03,75.6,74.53,75.1,140644800,0.23,73.57,72.39,70.1,66.08,59.92,53.72,86.89,82.73,0.65,2.53,2.2,92.67,92.17,93.66,70.1,75.46,64.73
2020-01-13,76.64,76.66,75.23,75.35,121532000,2.14,74.4,73.05,70.65,66.44,60.18,53.88,90.43,85.43,0.8,2.71,2.3,94.98,93.1,98.72,70.65,76.32,64.98
2020-01-14,75.6,76.78,75.48,76.57,161954400,-1.35,75.09,73.56,71.1,66.75,60.42,54.03,75.14,77.05,0.68,2.73,2.39,90.08,92.1,86.06,71.1,76.83,65.37
2020-01-15,75.28,76.28,74.85,75.4,121923600,-0.43,75.48,73.99,71.48,67.02,60.66,54.18,70.77,74.59,0.49,2.7,2.45,85.02,89.74,75.59,71.48,77.26,65.71
2020-01-16,76.22,76.33,75.46,75.82,108829200,1.25,75.75,74.35,71.9,67.3,60.94,54.33,75.59,76.9,0.42,2.71,2.5,86.89,88.79,83.08,71.9,77.77,66.04
2020-01-17,77.06,77.07,76.16,76.47,137816400,1.11,76.16,74.86,72.38,67.61,61.21,54.48,79.18,78.77,0.41,2.76,2.56,91.24,89.61,94.51,72.38,78.31,66.44
2020-01-21,76.54,77.13,76.4,76.69,110843200,-0.68,76.14,75.27,72.82,67.9,61.48,54.63,71.58,74.74,0.27,2.73,2.59,90.43,89.88,91.52,72.82,78.61,67.02
2020-01-22,76.82,77.37,76.72,77.03,101832400,0.36,76.38,75.74,73.28,68.18,61.76,54.78,73.16,75.45,0.16,2.69,2.61,88.08,89.28,85.68,73.28,78.79,67.77
2020-01-23,77.19,77.27,76.32,76.87,104472000,0.48,76.77,76.12,73.71,68.46,62.02,54.92,75.31,76.41,0.08,2.66,2.62,89.9,89.49,90.72,73.71,79.04,68.37
2020-01-24,76.96,78.18,76.77,77.43,146537600,-0.29,76.91,76.33,74.12,68.73,62.29,55.07,71.29,74.52,-0.05,2.59,2.61,81.12,86.7,69.97,74.12,79.11,69.12
2020-01-27,74.7,75.38,73.72,74.97,161940000,-2.94,76.44,76.3,74.35,68.96,62.54,55.2,43.65,58.63,-0.46,2.32,2.56,61.43,78.28,27.75,74.35,78.99,69.7
2020-01-28,76.81,76.99,75.48,75.58,162234000,2.83,76.5,76.32,74.68,69.22,62.81,55.35,60.38,65.93,-0.48,2.26,2.5,64.1,73.55,45.2,74.68,79.01,70.36
2020-01-29,78.42,79.27,77.71,78.45,216229200,2.09,76.82,76.6,75.08,69.52,63.08,55.5,68.65,70.24,-0.3,2.31,2.46,70.97,72.69,67.54,75.08,79.24,70.92
2020-01-30,78.31,78.36,77.07,77.5,126743200,-0.14,77.04,76.9,75.45,69.8,63.34,55.66,67.49,69.57,-0.23,2.31,2.43,74.87,73.42,77.78,75.45,79.39,71.5
2020-01-31,74.84,78.02,74.54,77.6,199588400,-4.43,76.62,76.77,75.56,70.0,63.58,55.79,42.11,52.96,-0.67,2.01,2.35,56.63,67.82,34.25,75.56,79.3,71.82
2020-02-03,74.63,75.8,73.07,73.58,173788400,-0.27,76.6,76.52,75.69,70.21,63.8,55.92,41.04,52.17,-0.97,1.74,2.22,46.13,60.59,17.21,75.69,79.07,72.31
2020-02-04,77.09,77.28,75.83,76.24,136616400,3.3,76.66,76.58,75.92,70.48,64.03,56.07,56.46,59.92,-0.84,1.7,2.12,52.38,57.86,41.44,75.92,79.01,72.83
2020-02-05,77.72,78.52,77.12,78.22,118826800,0.82,76.52,76.67,76.2,70.77,64.27,56.21,59.6,61.63,-0.67,1.7,2.03,59.93,58.55,62.7,76.2,78.85,73.55
2020-02-06,78.63,78.63,77.43,77.99,105425600,1.17,76.58,76.81,76.47,71.07,64.53,56.35,63.99,64.02,-0.45,1.75,1.98,69.85,62.32,84.93,76.47,78.97,73.97
2020-02-07,77.56,78.38,77.07,78.13,117684000,-1.36,77.13,76.87,76.6,71.34,64.78,56.49,55.69,59.34,-0.46,1.69,1.92,70.72,65.12,81.92,76.6,79.03,74.17
2020-02-10,77.93,77.93,76.07,76.15,109348800,0.47,77.79,77.2,76.75,71.62,65.02,56.64,57.89,60.42,-0.43,1.65,1.87,73.28,67.84,84.16,76.75,79.13,74.36
2020-02-11,77.46,78.5,77.24,78.43,94323200,-0.6,77.86,77.26,76.79,71.87,65.26,56.78,53.91,58.3,-0.48,1.56,1.81,75.15,70.28,84.91,76.79,79.19,74.39
2020-02-12,79.3,79.31,77.91,77.91,113730400,2.37,78.18,77.35,76.97,72.16,65.52,56.93,64.91,63.66,-0.29,1.62,1.77,83.41,74.66,100.92,76.97,79.55,74.4
2020-02-13,78.74,79.06,78.37,78.57,94747600,-0.71,78.2,77.39,77.15,72.46,65.78,57.09,59.8,61.07,-0.26,1.61,1.74,85.89,78.4,100.88,77.15,79.7,74.59
2020-02-14,78.76,79.0,78.25,78.7,80113600,0.02,78.44,77.78,77.27,72.78,66.04,57.23,59.93,61.13,-0.25,1.58,1.71,85.32,80.71,94.54,77.27,79.89,74.66
2020-02-18,77.31,77.5,76.25,76.43,152531200,-1.83,78.31,78.05,77.29,73.06,66.29,57.37,47.08,54.55,-0.45,1.42,1.65,69.72,77.04,55.07,77.29,79.9,74.68
2020-02-19,78.43,78.66,77.56,77.56,93984000,1.45,78.51,78.18,77.38,73.35,66.54,57.5,55.69,58.3,-0.44,1.37,1.59,70.84,74.97,62.56,77.38,80.01,74.75
2020-02-20,77.63,78.68,77.12,78.19,100566000,-1.03,78.17,78.18,77.42,73.59,66.79,57.64,49.0,54.8,-0.54,1.26,1.53,63.31,71.09,47.75,77.42,80.04,74.8
2020-02-21,75.87,77.66,75.25,77.22,129554000,-2.26,77.6,77.9,77.36,73.82,67.02,57.78,37.53,48.01,-0.83,1.01,1.42,47.29,63.15,15.56,77.36,80.06,74.65
2020-02-24,72.27,73.72,70.1,72.04,222195200,-4.75,76.3,77.37,77.12,73.96,67.2,57.9,24.05,37.71,-1.45,0.52,1.24,39.38,55.23,7.68,77.12,80.62,73.62
2020-02-25,69.82,73.32,69.35,72.94,230673600,-3.39,74.8,76.56,76.88,74.05,67.36,58.01,18.73,32.59,-2.1,-0.07,0.98,27.83,46.1,-8.69,76.88,81.51,72.24
2020-02-26,70.93,72.19,69.44,69.44,198054800,1.59,73.3,75.91,76.58,74.16,67.54,58.12,27.23,36.77,-2.27,-0.44,0.7,23.98,38.72,-5.52,76.58,81.9,71.27
2020-02-27,66.29,69.32,66.15,68.13,320605600,-6.54,71.04,74.6,75.98,74.15,67.67,58.23,18.02,28.73,-2.87,-1.1,0.34,16.34,31.26,-13.51,75.98,82.85,69.1
2020-02-28,66.25,67.48,62.13,62.35,426510000,-0.06,69.11,73.36,75.37,74.12,67.79,58.34,17.96,28.68,-3.1,-1.6,-0.05,19.19,27.24,3.08,75.37,83.35,67.4
