buy_date,buy_price,sell_date,sell_price,profit_pct
2020-04-06,63.61,2020-05-07,73.61,15.72
2020-04-07,62.88,2020-05-08,75.37,19.86
2020-04-08,64.49,2020-05-11,76.55,18.7
2020-04-09,64.95,2020-06-03,79.01,21.65
2020-04-13,66.23,2020-06-05,80.56,21.64
2020-04-20,67.12,2020-06-08,81.04,20.74
2020-04-21,65.04,2020-06-09,83.6,28.54
2020-04-22,66.92,2020-06-10,85.75,28.14
2020-04-23,66.66,2020-06-22,87.21,30.83
2020-04-28,67.52,2020-06-23,89.07,31.92
2020-10-01,113.73,2020-12-17,125.55,10.39
2020-10-05,113.45,2020-12-22,128.65,13.4
2020-10-06,110.2,2020-12-28,133.34,21.0
2020-10-07,112.07,2021-01-25,139.42,24.4
2020-10-08,111.96,2021-01-26,139.65,24.73
2020-10-09,113.91,2021-04-08,127.36,11.81
2020-10-16,115.9,2021-04-09,129.94,12.11
2020-10-19,112.94,2021-04-13,131.33,16.28
2020-10-20,114.43,2021-06-22,131.12,14.59
2020-11-09,113.47,2021-06-29,133.42,17.58
2020-11-10,113.13,2021-06-30,134.03,18.47
2020-11-18,115.14,2021-07-01,134.34,16.68
2020-11-19,115.73,2021-07-02,136.97,18.35
2020-11-20,114.47,2021-07-06,138.98,21.41
2021-01-04,126.24,2021-07-07,141.48,12.07
2021-03-16,122.68,2021-07-08,140.18,14.26
2021-03-17,121.89,2021-07-09,142.01,16.51
2021-03-22,120.55,2021-07-12,141.41,17.3
2021-03-23,119.72,2021-07-13,142.53,19.05
2021-03-31,119.34,2021-07-14,145.96,22.31
2021-04-01,120.17,2021-07-15,145.31,20.92
2021-06-07,123.21,2021-08-16,148.11,20.21
2021-06-08,124.03,2021-09-07,153.57,23.82
2021-06-09,124.41,2021-10-20,146.29,17.59
2021-06-10,123.41,2021-10-21,146.5,18.71
2021-06-11,124.63,2021-10-28,149.53,19.98
2021-10-14,140.9,2021-11-18,154.95,9.97
2021-10-15,141.96,2021-11-19,157.58,11.0
2022-02-03,169.7,2022-03-24,171.07,0.81
2022-02-04,169.42,2022-03-25,171.71,1.35
2022-02-07,168.7,2022-03-28,172.57,2.29
2022-02-10,169.15,2022-03-29,175.88,3.98
